timestamp_utc,vram_used_mb,vram_free_mb,vram_total_mb
2026-08-23T09:45:20Z,7384,41020,48935
2026-08-23T09:45:22Z,7384,41020,48935
2026-08-23T09:45:24Z,7384,41020,48935
2026-08-23T09:45:26Z,7384,41020,48935
2026-08-23T09:45:28Z,7384,41020,48935
2026-08-23T09:45:31Z,7384,41020,48935
2026-08-23T09:45:33Z,7384,41020,48935
2026-08-23T09:45:35Z,7384,41020,48935
2026-08-23T09:45:37Z,7384,41020,48935
2026-08-23T09:45:39Z,7384,41020,48935
2026-08-23T09:45:41Z,7384,41020,48935
2026-08-23T09:45:43Z,7384,41020,48935
2026-08-23T09:45:45Z,7384,41020,48935
2026-08-23T09:45:47Z,7384,41020,48935
2026-08-23T09:45:49Z,7384,41020,48935
2026-08-23T09:45:51Z,7384,41020,48935
2026-08-23T09:45:53Z,7384,41020,48935
2026-08-23T09:45:55Z,7384,41020,48935
2026-08-23T09:45:57Z,7384,41020,48935
2026-08-23T09:45:59Z,7384,41020,48935
2026-08-23T09:46:01Z,7384,41020,48935
2026-08-23T09:46:03Z,7384,41020,48935
2026-08-23T09:46:05Z,7384,41020,48935
2026-08-23T09:46:07Z,7384,41020,48935
2026-08-23T09:46:09Z,7384,41020,48935
2026-08-23T09:46:11Z,7384,41020,48935
2026-08-23T09:46:13Z,7384,41020,48935
2026-08-23T09:46:15Z,7384,41020,48935
2026-08-23T09:46:17Z,7384,41020,48935
2026-08-23T09:46:19Z,7384,41020,48935
2026-08-23T09:46:21Z,7384,41020,48935
2026-08-23T09:46:23Z,7384,41020,48935
2026-08-23T09:46:25Z,7384,41020,48935
2026-08-23T09:46:27Z,7384,41020,48935
2026-08-23T09:46:29Z,7384,41020,48935
2026-08-23T09:46:31Z,7384,41020,48935
2026-08-23T09:46:33Z,7384,41020,48935
2026-08-23T09:46:35Z,7384,41020,48935
2026-08-23T09:46:37Z,7386,41018,48935
2026-08-23T09:46:39Z,7386,41018,48935
2026-08-23T09:46:41Z,7254,41150,48935
2026-08-23T09:46:43Z,7254,41150,48935
2026-08-23T09:46:45Z,7254,41150,48935
2026-08-23T09:46:47Z,7254,41150,48935
2026-08-23T09:46:49Z,7254,41150,48935
2026-08-23T09:46:51Z,7384,41020,48935
2026-08-23T09:46:53Z,7384,41020,48935
2026-08-23T09:46:55Z,7384,41020,48935
2026-08-23T09:46:58Z,7384,41020,48935
2026-08-23T09:47:00Z,7384,41020,48935
2026-08-23T09:47:02Z,7384,41020,48935
2026-08-23T09:47:04Z,7384,41020,48935
2026-08-23T09:47:06Z,7384,41020,48935
2026-08-23T09:47:08Z,7384,41020,48935
2026-08-23T09:47:10Z,7384,41020,48935
2026-08-23T09:47:12Z,7384,41020,48935
2026-08-23T09:47:14Z,7384,41020,48935
2026-08-23T09:47:16Z,7384,41020,48935
2026-08-23T09:47:18Z,7384,41020,48935
2026-08-23T09:47:20Z,7384,41020,48935
2026-08-23T09:47:22Z,7384,41020,48935
2026-08-23T09:47:24Z,7384,41020,48935
2026-08-23T09:47:26Z,7384,41020,48935
2026-08-23T09:47:28Z,7384,41020,48935
2026-08-23T09:47:30Z,7384,41020,48935
2026-08-23T09:47:32Z,7384,41020,48935
2026-08-23T09:47:34Z,7384,41020,48935
2026-08-23T09:47:36Z,7384,41020,48935
2026-08-23T09:47:38Z,7384,41020,48935
2026-08-23T09:47:40Z,7384,41020,48935
2026-08-23T09:47:42Z,7384,41020,48935
2026-08-23T09:47:44Z,7384,41020,48935
2026-08-23T09:47:46Z,7384,41020,48935
2026-08-23T09:47:48Z,7384,41020,48935
2026-08-23T09:47:50Z,7384,41020,48935
2026-08-23T09:47:52Z,7384,41020,48935
2026-08-23T09:47:54Z,7384,41020,48935
2026-08-23T09:47:56Z,7384,41020,48935
2026-08-23T09:47:58Z,7384,41020,48935
2026-08-23T09:48:00Z,7384,41020,48935
2026-08-23T09:48:02Z,7384,41020,48935
2026-08-23T09:48:04Z,7384,41020,48935
2026-08-23T09:48:06Z,7384,41020,48935
2026-08-23T09:48:08Z,7384,41020,48935
2026-08-23T09:48:10Z,7384,41020,48935
2026-08-23T09:48:12Z,7384,41020,48935
2026-08-23T09:48:14Z,7384,41020,48935
2026-08-23T09:48:16Z,7384,41020,48935
2026-08-23T09:48:18Z,7384,41020,48935
2026-08-23T09:48:20Z,7384,41020,48935
2026-08-23T09:48:22Z,7384,41020,48935
2026-08-23T09:48:24Z,7384,41020,48935
2026-08-23T09:48:26Z,7384,41020,48935
2026-08-23T09:48:29Z,7384,41020,48935
2026-08-23T09:48:31Z,7384,41020,48935
2026-08-23T09:48:33Z,7384,41020,48935
2026-08-23T09:48:35Z,7384,41020,48935
2026-08-23T09:48:37Z,7384,41020,48935
2026-08-23T09:48:39Z,7384,41020,48935
2026-08-23T09:48:41Z,7384,41020,48935
2026-08-23T09:48:43Z,7384,41020,48935
2026-08-23T09:48:45Z,7384,41020,48935
2026-08-23T09:48:47Z,7384,41020,48935
2026-08-23T09:48:49Z,7384,41020,48935
2026-08-23T09:48:51Z,7384,41020,48935
2026-08-23T09:48:53Z,7384,41020,48935
2026-08-23T09:48:55Z,7384,41020,48935
2026-08-23T09:48:57Z,7384,41020,48935
2026-08-23T09:48:59Z,7254,41150,48935
2026-08-23T09:49:01Z,7254,41150,48935
2026-08-23T09:49:03Z,7254,41150,48935
2026-08-23T09:49:05Z,7254,41150,48935
2026-08-23T09:49:07Z,7254,41150,48935
2026-08-23T09:49:09Z,7384,41020,48935
2026-08-23T09:49:11Z,7384,41020,48935
2026-08-23T09:49:13Z,7384,41020,48935
2026-08-23T09:49:15Z,7384,41020,48935
2026-08-23T09:49:17Z,7384,41020,48935
2026-08-23T09:49:19Z,7384,41020,48935
2026-08-23T09:49:21Z,7384,41020,48935
2026-08-23T09:49:23Z,7384,41020,48935
2026-08-23T09:49:25Z,7384,41020,48935
2026-08-23T09:49:27Z,7384,41020,48935
2026-08-23T09:49:29Z,7384,41020,48935
2026-08-23T09:49:31Z,7384,41020,48935
2026-08-23T09:49:33Z,7384,41020,48935
2026-08-23T09:49:35Z,7384,41020,48935
2026-08-23T09:49:37Z,7384,41020,48935
2026-08-23T09:49:39Z,7384,41020,48935
2026-08-23T09:49:41Z,7384,41020,48935
2026-08-23T09:49:43Z,7384,41020,48935
2026-08-23T09:49:45Z,7384,41020,48935
2026-08-23T09:49:47Z,7384,41020,48935
2026-08-23T09:49:49Z,7384,41020,48935
2026-08-23T09:49:51Z,7384,41020,48935
2026-08-23T09:49:53Z,7384,41020,48935
2026-08-23T09:49:56Z,7384,41020,48935
2026-08-23T09:49:58Z,7384,41020,48935
2026-08-23T09:50:00Z,7384,41020,48935
2026-08-23T09:50:02Z,7384,41020,48935
2026-08-23T09:50:04Z,7384,41020,48935
2026-08-23T09:50:06Z,7384,41020,48935
2026-08-23T09:50:08Z,7384,41020,48935
2026-08-23T09:50:10Z,7384,41020,48935
2026-08-23T09:50:12Z,7384,41020,48935
2026-08-23T09:50:14Z,7384,41020,48935
2026-08-23T09:50:16Z,7384,41020,48935
2026-08-23T09:50:18Z,7384,41020,48935
2026-08-23T09:50:20Z,7384,41020,48935
2026-08-23T09:50:22Z,7384,41020,48935
2026-08-23T09:50:24Z,7384,41020,48935
2026-08-23T09:50:26Z,7384,41020,48935
2026-08-23T09:50:28Z,7384,41020,48935
2026-08-23T09:50:30Z,7384,41020,48935
2026-08-23T09:50:32Z,7384,41020,48935
2026-08-23T09:50:34Z,7384,41020,48935
2026-08-23T09:50:36Z,7384,41020,48935
2026-08-23T09:50:38Z,7384,41020,48935
2026-08-23T09:50:40Z,7384,41020,48935
2026-08-23T09:50:42Z,7254,41150,48935
2026-08-23T09:50:44Z,7254,41150,48935
2026-08-23T09:50:46Z,7254,41150,48935
2026-08-23T09:50:48Z,7254,41150,48935
2026-08-23T09:50:50Z,7254,41150,48935
2026-08-23T09:50:52Z,7256,41148,48935
2026-08-23T09:50:54Z,7384,41020,48935
2026-08-23T09:50:56Z,7384,41020,48935
2026-08-23T09:50:58Z,7384,41020,48935
2026-08-23T09:51:00Z,7384,41020,48935
2026-08-23T09:51:02Z,7384,41020,48935
2026-08-23T09:51:04Z,7384,41020,48935
2026-08-23T09:51:06Z,7384,41020,48935
2026-08-23T09:51:08Z,7384,41020,48935
2026-08-23T09:51:10Z,7384,41020,48935
2026-08-23T09:51:12Z,7384,41020,48935
2026-08-23T09:51:14Z,7384,41020,48935
2026-08-23T09:51:16Z,7384,41020,48935
2026-08-23T09:51:18Z,7384,41020,48935
2026-08-23T09:51:20Z,7384,41020,48935
2026-08-23T09:51:22Z,7384,41020,48935
2026-08-23T09:51:24Z,7384,41020,48935
2026-08-23T09:51:27Z,7384,41020,48935
2026-08-23T09:51:29Z,7384,41020,48935
2026-08-23T09:51:31Z,7384,41020,48935
2026-08-23T09:51:33Z,7384,41020,48935
2026-08-23T09:51:35Z,7384,41020,48935
2026-08-23T09:51:37Z,7384,41020,48935
2026-08-23T09:51:39Z,7384,41020,48935
